2026-01-27 12:18:59.982 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=4, Spatial Binning后=4
2026-01-27 12:18:59.983 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=4/4, H_est是否单位矩阵=False
2026-01-27 12:18:59.983 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:01.712 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (2 < 4)
2026-01-27 12:19:01.713 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:19:01.714 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:19:01.715 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:01.715 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=7, Spatial Binning后=7
2026-01-27 12:19:01.717 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=4/7, H_est是否单位矩阵=False
2026-01-27 12:19:01.717 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:01.717 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (3 < 4)
2026-01-27 12:19:03.426 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:19:03.428 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:19:03.429 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:03.430 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
2026-01-27 12:19:03.430 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:19:03.431 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=6, Spatial Binning后=6
2026-01-27 12:19:03.432 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=4/6, H_est是否单位矩阵=False
2026-01-27 12:19:03.433 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:05.472 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=8, Spatial Binning后=8
2026-01-27 12:19:05.475 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/8, H_est是否单位矩阵=False
2026-01-27 12:19:05.475 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:19:05.476 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=4, Spatial Binning后=4
2026-01-27 12:19:05.476 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=4/4, H_est是否单位矩阵=False
